area_lo,area_hi,state,location
000,000,,Invalid
001,003,NH,New Hampshire
004,007,ME,Maine
008,009,VT,Vermont
010,034,MA,Massachusetts
035,039,RI,Rhode Island
040,049,CT,Connecticut
050,134,NY,New York
135,158,NJ,New Jersey
159,211,PA,Pennsylvania
212,220,MD,Maryland
221,222,DE,Delaware
223,231,VA,Virginia
232,232,NC,North Carolina
232,236,WV,West Virginia
237,246,,Not Issued
247,251,SC,South Carolina
252,260,GA,Georgia
261,267,FL,Florida
268,302,OH,Ohio
303,317,IN,Indiana
318,361,IL,Illinois
362,386,MI,Michigan
387,399,WI,Wisconsin
400,407,KY,Kentucky
408,415,TN,Tennessee
416,424,AL,Alabama
425,428,MS,Mississippi
429,432,AK,Arkansas
433,439,LA,Louisiana
440,448,OK,Oklahoma
449,467,TX,Texas
468,477,MN,Minnesota
478,485,IA,Iowa
486,500,MO,Missouri
501,502,ND,North Dakota
503,504,SD,South Dakota
505,508,NE,Nebraska
509,515,KS,Kansas
516,517,MO,Montana
518,519,ID,Idaho
520,520,WY,Wyoming
521,524,CO,Colorado
525,585,NM,New Mexico
526,527,AZ,Arizona
528,529,UT,Utah
530,680,NV,Nevada
531,539,WA,Washington
540,544,OR,Oregon
545,573,CA,California
574,574,AL,Alaska
575,576,HI,Hawaii
577,579,DC,District of Columbia
580,580,,Virgin Islands
580,584,,Puerto Rico
585,585,,
586,586,,American Samoa / Guam / Philippine Islands
587,665,,Not Issued
666,666,,
667,679,,Not Issued
680,680,,
681,690,,Not Issued
691,699,,Not Issued
700,728,,Railroad Board**
729,733,,Enumeration at Entry
734,749,,
750,799,,Not Issued
800,999,,Invalid
